node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
258049267,7.410153,80.609492,3,1,B7,B-Other,False,True
3410071521,7.409764,80.605461,3,2,B377;B7,B-B,True,True
1836349723,7.381237,80.586674,3,2,B15;B377,B-B,True,True
2382152088,7.294153,80.649526,3,1,B69,B-Other,False,True
1837478229,7.297827,80.650443,3,2,B550;B69,B-B,True,True
3205666202,7.321663,79.976494,2,2,B308;B503,B-B,True,False
1855349523,7.255322,80.581386,2,2,B116;B306,B-B,True,False
1855322535,7.255015,80.58959,3,1,B116,B-Other,False,True
3237453500,7.214856,80.571039,3,2,B135;B91,B-B,True,True
3226286143,7.199587,80.547567,2,2,B172;B91,B-B,True,False
1856812890,7.292691,80.240859,3,1,B539,B-Other,False,True
1877266311,7.218027,81.849599,2,2,B1;B2,B-B,True,False
1896101718,7.706294,80.828739,2,2,B312;B615,B-B,True,False
1909593733,7.197785,80.669872,3,2,B125;B364,B-B,True,True
1924772358,6.96006,79.88107,4,1,B336,B-Other,False,True
1213041863,6.643698,80.179986,3,1,B304,B-Other,False,True
1931363942,6.035262,80.216958,3,1,B130,B-Other,False,True
3827971307,6.264603,80.691295,3,2,B485;B606,B-B,True,True
1932028753,6.146331,80.699017,2,2,B142;B54,B-B,True,False
1932027824,6.107406,80.648891,2,2,B142;B98,B-B,True,False
6548218206,6.083137,80.644441,2,2,B275;B309,B-B,True,False
1933502385,6.083169,80.64439,2,2,B275;B309,B-B,True,False
4814119764,7.33974,80.992828,3,1,B057,B-Other,False,True
3377606382,6.145688,81.073014,3,1,B562,B-Other,False,True
6038408772,7.281776,81.527468,3,1,B527,B-Other,False,True
1809637872,7.324708,80.6257,3,1,B206,B-Other,False,True
1181921747,8.32152,80.382205,3,1,B638,B-Other,False,True
1994857493,6.57959,80.707452,2,2,B124;B467,B-B,True,False
4020206699,6.598123,80.732418,2,2,B124;B223,B-B,True,False
1994843650,6.526588,80.170285,2,2,B421;B544,B-B,True,False
2143415342,6.460775,80.179435,2,2,B158;B544,B-B,True,False
